locus	description	name
PA14_02110	diguanylate cyclase	PA14_02110
PA14_02130	hypothetical protein	PA14_02130
PA14_02140	hypothetical protein	PA14_02140
PA14_02150	hypothetical protein	PA14_02150
PA14_02180	chemotaxis-specific methylesterase	cheB
PA14_02190	hypothetical protein	PA14_02190
PA14_02200	chemotaxis protein methyltransferase	PA14_02200
PA14_02220	chemotaxis transducer	PA14_02220
PA14_02230	purine-binding chemotaxis protein	cheW
PA14_02250	two-component sensor	cheA
PA14_02260	two-component response regulator	PA14_02260
PA14_02270	chemotaxis transducer	PA14_02270
PA14_02290	LysR family transcriptional regulator	PA14_02290
PA14_02300	3-ketoacyl-ACP reductase	fabG
PA14_02310	arylsulfatase	atsA
PA14_02330	ABC transporter ATP-binding protein	PA14_02330
PA14_02340	ABC transporter permease	PA14_02340
PA14_02360	ABC transporter substrate-binding protein	PA14_02360
PA14_02370	porin	PA14_02370
PA14_02380	acid phosphatase	PA14_02380
PA14_02390	transcriptional regulator	PA14_02390
PA14_02410	TonB-dependent receptor	PA14_02410
PA14_02420	hypothetical protein	PA14_02420
PA14_02435	hypothetical protein	PA14_02435
PA14_02450	NAD(P) transhydrogenase subunit alpha part 1	PA14_02450
PA14_02460	NAD(P) transhydrogenase subunit alpha part 2	PA14_02460
PA14_02470	pyridine nucleotide transhydrogenase subunit beta	pntB
PA14_02490	hypothetical protein	tonB2
PA14_02500	transport protein ExbB	exbB1
PA14_02510	transport protein ExbD	exbD1
PA14_02520	hypothetical protein	PA14_02520
PA14_02530	hypothetical protein	PA14_02530
PA14_02550	malonate decarboxylase subunit alpha	mdcA
PA14_02560	triphosphoribosyl-dephospho-CoA synthase	PA14_02560
PA14_02570	malonate decarboxylase subunit delta	mdcC
PA14_02580	malonate decarboxylase subunit beta	mdcD
PA14_02590	malonate decarboxylase subunit gamma	mdcE
PA14_02610	phosphoribosyl-dephospho-CoA transferase	PA14_02610
PA14_02620	epsilon subunit of malonate decarboxylase	PA14_02620
PA14_02630	malonate carrier protein	PA14_02630
PA14_02640	malonate transporter subunit MadM	PA14_02640
PA14_02650	malonate utilization transcriptional regulator	PA14_02650
PA14_02660	LysR family transcriptional regulator	PA14_02660
PA14_02680	aldehyde dehydrogenase	PA14_02680
PA14_02690	amino acid permease	PA14_02690
PA14_02700	aminotransferase	PA14_02700
PA14_02720	hypothetical protein	PA14_02720
PA14_02730	dihydrodipicolinate synthetase	PA14_02730
PA14_02740	class II aldolase/adducin domain-containing protein	PA14_02740
PA14_02750	transcriptional regulator	PA14_02750
PA14_02760	CoA transferase, subunit A	PA14_02760
PA14_02770	CoA transferase subunit B	PA14_02770
PA14_02790	beta-ketoadipyl CoA thiolase	pcaF
PA14_02810	dicarboxylic acid transporter PcaT	pcaT
PA14_02830	3-carboxy-cis,cis-muconate cycloisomerase	pcaB
PA14_02840	beta-ketoadipate enol-lactone hydrolase	pcaD
PA14_02850	gamma-carboxymuconolactone decarboxylase	pcaC
PA14_02870	transcriptional regulator	PA14_02870
PA14_02890	hypothetical protein	PA14_02890
PA14_02900	4-hydroxybenzoate transporter PcaK	pcaK
PA14_02910	IclR family transcriptional regulator	PA14_02910
PA14_02930	oxidoreductase	PA14_02930
PA14_02960	hypothetical protein	PA14_02960
PA14_02970	hypothetical protein	PA14_02970
PA14_02980	porin	PA14_02980
PA14_02990	MFS transporter	PA14_02990
PA14_03000	hypothetical protein	PA14_03000
PA14_03010	TetR family transcriptional regulator	PA14_03010
PA14_03020	shikimate 5-dehydrogenase	PA14_03020
PA14_03030	3-dehydroquinate dehydratase	aroQ2
PA14_03040	MFS transporter	PA14_03040
PA14_03050	4-hydroxybenzoate 3-monooxygenase	pobA
PA14_03070	transcriptional regulator	PA14_03070
PA14_03080	acetyltransferase	PA14_03080
PA14_03090	hypothetical protein	PA14_03090
PA14_03100	hypothetical protein	PA14_03100
PA14_03110	hypothetical protein	PA14_03110
PA14_03120	transcriptional regulator	PA14_03120
PA14_03130	hypothetical protein	PA14_03130
PA14_03150	hypothetical protein	PA14_03150
PA14_03160	hypothetical protein	PA14_03160
PA14_03163	hypothetical protein	PA14_03163
PA14_03166	hypothetical protein	PA14_03166
PA14_03170	hypothetical protein	PA14_03170
PA14_03180	hypothetical protein	PA14_03180
PA14_03190	hypothetical protein	PA14_03190
PA14_03200	hypothetical protein	PA14_03200
PA14_03210	hypothetical protein	PA14_03210
PA14_03220	hypothetical protein	PA14_03220
PA14_03240	secreted protein Hcp	hcpC
PA14_03250	hypothetical protein	PA14_03250
PA14_03265	hypothetical protein	PA14_03265
PA14_03270	hypothetical protein	PA14_03270
PA14_03285	hypothetical protein	PA14_03285
PA14_03290	hypothetical protein	PA14_03290
PA14_03300	hypothetical protein	PA14_03300
PA14_03310	hypothetical protein	PA14_03310
PA14_03320	hypothetical protein	PA14_03320
PA14_03330	hypothetical protein	PA14_03330
PA14_03340	hypothetical protein	PA14_03340
PA14_03350	hypothetical protein	PA14_03350
PA14_03360	hypothetical protein	PA14_03360
PA14_03370	hypothetical protein	PA14_03370
PA14_03380	hypothetical protein	PA14_03380
PA14_03390	hypothetical protein	PA14_03390
PA14_03400	hypothetical protein	PA14_03400
PA14_03420	hypothetical protein	PA14_03420
PA14_03430	succinate-semialdehyde dehydrogenase I	gabD
PA14_03450	4-aminobutyrate aminotransferase	gabT
PA14_03470	hypothetical protein	PA14_03470
PA14_03480	GntR family transcriptional regulator	PA14_03480
PA14_03490	hypothetical protein	PA14_03490
PA14_03510	hypothetical protein	PA14_03510
PA14_03520	hypothetical protein	PA14_03520
PA14_03530	transcriptional regulator	PA14_03530
PA14_03550	MFS transporter	PA14_03550
PA14_03560	hypothetical protein	PA14_03560
PA14_03580	transcriptional regulator	PA14_03580
PA14_03590	hypothetical protein	PA14_03590
PA14_03610	Zn-dependent protease with chaperone function	PA14_03610
PA14_03620	hypothetical protein	PA14_03620
PA14_03630	ArsR family transcriptional regulator	PA14_03630
PA14_03650	sulfate transport protein CysA	cysA
PA14_03670	sulfate transport protein CysW	cysW
PA14_03680	sulfate transport protein CysT	cysT
PA14_03700	sulfate-binding protein	sbp
PA14_03710	hypothetical protein	PA14_03710
PA14_03720	sensory box GGDEF domain-containing protein	PA14_03720
PA14_03730	fatty acid desaturase	PA14_03730
PA14_03760	sodium:solute symporter	PA14_03760
PA14_03770	agmatinase	speB1
PA14_03780	transcriptional regulator	PA14_03780
PA14_03790	sensory box GGDEF domain-containing protein	PA14_03790
PA14_03800	anaerobically-induced outer membrane porin OprE precursor	oprE
PA14_03810	agmatine deiminase	aguA
PA14_03830	N-carbamoylputrescine amidohydrolase	aguB
PA14_03840	transcriptional regulator AguR	aguR
PA14_03855	periplasmic polyamine binding protein	PA14_03855
PA14_03860	glutamine synthetase	PA14_03860
PA14_03870	glutamine amidotransferase	spuA
PA14_03880	glutamine synthetase	spuB
PA14_03900	aminotransferase	spuC
PA14_03920	polyamine transport protein	spuD
PA14_03930	polyamine transport protein	spuE
PA14_03940	polyamine transport protein PotG	spuF
PA14_03950	polyamine transport protein PotH	spuG
PA14_03960	polyamine transport protein PotI	spuH
PA14_03980	hypothetical protein	PA14_03980
PA14_04000	transcriptional regulator	PA14_04000
PA14_04010	hypothetical protein	PA14_04010
PA14_04020	hypothetical protein	PA14_04020
PA14_04030	hypothetical protein	PA14_04030
PA14_04040	hypothetical protein	PA14_04040
PA14_04050	proline hydroxylase	PA14_04050
PA14_04060	hypothetical protein	PA14_04060
PA14_04070	hypothetical protein	PA14_04070
PA14_04080	ABC transporter permease	PA14_04080
PA14_04090	ABC transporter substrate-binding protein	PA14_04090
PA14_04100	hypothetical protein	PA14_04100
PA14_04110	D-3-phosphoglycerate dehydrogenase	serA
PA14_04140	hypothetical protein	PA14_04140
PA14_04150	hypothetical protein	PA14_04150
PA14_04160	transcriptional regulator	PA14_04160
PA14_04180	hypothetical protein	PA14_04180
PA14_04190	acetylpolyamine aminohydrolase	PA14_04190
PA14_04210	transporter	PA14_04210
PA14_04220	ABC transporter substrate-binding protein	PA14_04220
PA14_04230	ABC transporter permease	PA14_04230
PA14_04240	ABC transporter permease	PA14_04240
PA14_04250	ABC transporter ATP-binding protein	PA14_04250
PA14_04270	transcriptional regulator	PA14_04270
PA14_04290	hypothetical protein	PA14_04290
PA14_04300	hypothetical protein	PA14_04300
PA14_04310	ribose-5-phosphate isomerase A	rpiA
PA14_04320	threonine dehydratase	ilvA1
PA14_04330	hypothetical protein	PA14_04330
PA14_04340	hypothetical protein	PA14_04340
PA14_04350	integral membrane protein	PA14_04350
PA14_04370	MFS transporter	PA14_04370
PA14_04380	hypothetical protein	PA14_04380
PA14_04390	dinucleoside polyphosphate hydrolase	ygdP
PA14_04410	phosphoenolpyruvate-protein phosphotransferase PtsP	ptsP
PA14_04420	hypothetical protein	PA14_04420
PA14_04430	hypothetical protein	PA14_04430
PA14_04440	permease	PA14_04440
PA14_04460	prolipoprotein diacylglyceryl transferase	lgt
PA14_04480	thymidylate synthase	thyA
PA14_04490	hypothetical protein	PA14_04490
PA14_04510	hypothetical protein	PA14_04510
PA14_04520	hypothetical protein	PA14_04520
PA14_04530	hypothetical protein	PA14_04530
PA14_04550	glycerophosphoryl diester phosphodiesterase, periplasmic	glpQ
PA14_04560	hypothetical protein	PA14_04560
PA14_04570	hypothetical protein	PA14_04570
PA14_04580	dihydrofolate reductase	folA
PA14_04590	hypothetical protein	PA14_04590
PA14_04610	transporter	PA14_04610
PA14_04630	dihydroxy-acid dehydratase	ilvD
PA14_04640	hypothetical protein	PA14_04640
PA14_04650	protease PfpI	pfpI
PA14_04660	hypothetical protein	PA14_04660
PA14_04670	formamidopyrimidine-DNA glycosylase	mutM
PA14_04680	hypothetical protein	PA14_04680
PA14_04690	hypothetical protein	PA14_04690
PA14_04700	hypothetical protein	PA14_04700
PA14_04710	hypothetical protein	PA14_04710
PA14_04730	gamma-glutamyltranspeptidase	PA14_04730
PA14_04750	ferredoxin (4Fe-4S)	fdx1
PA14_04760	phosphopantetheine adenylyltransferase	coaD
PA14_04780	oxidoreductase	PA14_04780
PA14_04790	hypothetical protein	PA14_04790
PA14_04810	aldehyde dehydrogenase	PA14_04810
PA14_04820	TetR family transcriptional regulator	PA14_04820
PA14_04830	acetyltransferase	PA14_04830
PA14_04840	hypothetical protein	PA14_04840
PA14_04850	hypothetical protein	PA14_04850
PA14_04860	methyltransferase	PA14_04860
PA14_04870	hypothetical protein	PA14_04870
PA14_04890	zinc protease	PA14_04890
PA14_04900	signal recognition particle receptor FtsY	ftsY
PA14_04910	cell division ATP-binding protein FtsE	ftsE
PA14_04920	cell division protein FtsX	ftsX
PA14_04930	RNA polymerase factor sigma-32	rpoH
PA14_04940	hypothetical protein	PA14_04940
PA14_04950	monofunctional biosynthetic peptidoglycan transglycosylase	mtgA
PA14_04960	hypothetical protein	PA14_04960
PA14_04970	sulfur carrier protein ThiS	PA14_04970
PA14_04980	thiazole synthase	thiG
PA14_05000	tRNA (guanine-N(7)-)-methyltransferase	trmB
PA14_05010	hypothetical protein	PA14_05010
PA14_05020	hypothetical protein	PA14_05020
PA14_05030	hypothetical protein	PA14_05030
PA14_05040	coproporphyrinogen III oxidase	PA14_05040
PA14_05050	deoxyribonucleotide triphosphate pyrophosphatase	PA14_05050
PA14_05060	hypothetical protein	PA14_05060
PA14_05070	methionine biosynthesis protein	PA14_05070
PA14_05080	homoserine O-acetyltransferase	metX
PA14_05110	hypothetical protein	PA14_05110
PA14_05120	hypothetical protein	PA14_05120
PA14_05130	hypothetical protein	PA14_05130
PA14_05150	pyrroline-5-carboxylate reductase	proC
PA14_05160	hypothetical protein	PA14_05160
PA14_05180	twitching motility protein PilT	pilT
PA14_05190	twitching motility protein PilU	pilU
PA14_05200	cation efflux system protein	PA14_05200
PA14_05210	hypothetical protein	PA14_05210
PA14_05220	cystathionine beta-synthase	PA14_05220
PA14_05230	cystathionine gamma-lyase	PA14_05230
PA14_05250	dihydroorotase	pyrC
PA14_05260	aspartate carbamoyltransferase	pyrB
PA14_05270	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase	pyrR
PA14_05280	Holliday junction resolvase-like protein	yqgF
PA14_05290	hypothetical protein	PA14_05290
PA14_05300	TonB domain-containing protein	PA14_05300
PA14_05310	glutathione synthetase	gshB
PA14_05320	twitching motility protein PilG	pilG
PA14_05330	twitching motility protein PilH	pilH
PA14_05340	twitching motility protein PilI	pilI
PA14_05360	twitching motility protein PilJ	pilJ
PA14_05380	methyltransferase PilK	pilK
PA14_05390	ChpA	chpA
PA14_05400	methylesterase	PA14_05400
PA14_05410	chemotaxis protein	PA14_05410
PA14_05420	transcriptional regulator	PA14_05420
PA14_05430	chemotaxis protein	PA14_05430
PA14_05440	hypothetical protein	PA14_05440
PA14_05450	16S ribosomal RNA methyltransferase RsmE	PA14_05450
PA14_05460	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA
PA14_05480	hypothetical protein	PA14_05480
PA14_05500	hypothetical protein	PA14_05500
PA14_05510	hypothetical protein	PA14_05510
PA14_05520	multidrug resistance operon repressor MexR	mexR
PA14_05530	RND multidrug efflux membrane fusion protein MexA	mexA
PA14_05540	RND multidrug efflux transporter MexB	mexB
PA14_05550	major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	oprM
PA14_05560	ATP-dependent RNA helicase	PA14_05560
PA14_05580	hypothetical protein	PA14_05580
PA14_05590	5,10-methylenetetrahydrofolate reductase	metF
PA14_05600	hypothetical protein	PA14_05600
PA14_05620	S-adenosyl-L-homocysteine hydrolase	sahH
PA14_05630	hypothetical protein	PA14_05630
PA14_05640	hypothetical protein	PA14_05640
PA14_05650	hypothetical protein	PA14_05650
PA14_05660	transcriptional regulator	PA14_05660
PA14_05690	cytosine deaminase	codA
PA14_05700	cytosine permease	codB
PA14_05740	dihydropyrimidine dehydrogenase	PA14_05740
PA14_05750	oxidoreductase	PA14_05750
PA14_05770	phenylhydantoinase	dhT
PA14_05775	hypothetical protein	PA14_05775
PA14_05790	transporter	PA14_05790
PA14_05810	allantoate amidohydrolase	amaB
PA14_05820	hypothetical protein	PA14_05820
PA14_05840	glutaryl-CoA dehydrogenase	gcdH
PA14_05850	LysR family transcriptional regulator	PA14_05850
PA14_05860	hypothetical protein	PA14_05860
PA14_05870	phosphate transporter	PA14_05870
PA14_05880	membrane-bound protease	PA14_05880
PA14_05890	stomatin-like protein	PA14_05890
PA14_05910	periplasmic transport system	PA14_05910
PA14_05920	hypothetical protein	PA14_05920
PA14_05950	ATP-dependent RNA helicase DbpA	dbpA
PA14_05960	cold-shock protein	PA14_05960
PA14_05970	hypothetical protein	PA14_05970
PA14_05990	EmrB/QacA family drug resistance transporter	PA14_05990
PA14_06000	ClpA/B protease ATP binding subunit	PA14_06000
PA14_06010	hypothetical protein	PA14_06010
PA14_06030	acyltransferase	PA14_06030
PA14_06040	hypothetical protein	PA14_06040
PA14_06060	DNA-binding response regulator CreB	creB
PA14_06070	sensory histidine kinase CreC	creC
PA14_06080	hypothetical protein	creD
PA14_06090	hypothetical protein	PA14_06090
PA14_06120	hypothetical protein	PA14_06120
PA14_06130	hypothetical protein	PA14_06130
PA14_06150	hypothetical protein	PA14_06150
PA14_06160	hydroxamate-type ferrisiderophore receptor	PA14_06160
PA14_06170	transmembrane sensor	PA14_06170
PA14_06180	RNA polymerase sigma factor	PA14_06180
PA14_06190	glutathione S-transferase	PA14_06190
PA14_06200	hypothetical protein	PA14_06200
PA14_06210	transcriptional regulator	PA14_06210
PA14_06230	permease	PA14_06230
PA14_06240	LysR family transcriptional regulator	PA14_06240
PA14_06250	GNAT family acetyltransferase	PA14_06250
PA14_06260	LysR family transcriptional regulator	PA14_06260
PA14_06270	hydrolase	PA14_06270
PA14_06280	hypothetical protein	PA14_06280
PA14_06290	malate synthase G	glcB
PA14_06300	GNAT family acetyltransferase	PA14_06300
PA14_06310	ACT domain-containing protein	PA14_06310
PA14_06320	hypothetical protein	PA14_06320
PA14_06330	serine/threonine protein kinase	PA14_06330
PA14_06340	molybdenum transport regulator	PA14_06340
PA14_06350	hypothetical protein	PA14_06350
PA14_06360	phosphoribosyl transferase	PA14_06360
PA14_06390	hypothetical protein	PA14_06390
PA14_06400	LysR family transcriptional regulator	PA14_06400
PA14_06420	hypothetical protein	PA14_06420
PA14_06430	hypothetical protein	PA14_06430
PA14_06450	acetyl-CoA carboxylase biotin carboxylase subunit	PA14_06450
PA14_06460	hypothetical protein	PA14_06460
PA14_06480	hydrolase	PA14_06480
PA14_06500	biotin synthase	bioB
PA14_06510	8-amino-7-oxononanoate synthase	bioF
PA14_06530	biotin biosynthesis protein bioH	PA14_06530
PA14_06540	biotin synthesis protein BioC	PA14_06540
PA14_06570	dithiobiotin synthetase	bioD
PA14_06580	hypothetical protein	PA14_06580
PA14_06600	acyl-CoA dehydrogenase	PA14_06600
PA14_06620	acyl-CoA dehydrogenase	PA14_06620
PA14_06640	acyl-CoA dehydrogenase	PA14_06640
PA14_06650	c-type cytochrome	nirN
PA14_06660	uroporphyrin-III c-methyltransferase	nirE
PA14_06670	heme d1 biosynthesis protein NirJ	nirJ
PA14_06680	hypothetical protein	nirH
PA14_06690	transcriptional regulator	nirG
PA14_06700	heme d1 biosynthesis protein NirL	nirL
PA14_06710	transcriptional regulator	PA14_06710
PA14_06720	heme d1 biosynthesis protein NirF	nirF
PA14_06730	c-type cytochrome	nirC
PA14_06740	cytochrome c-551	nirM
PA14_06750	nitrite reductase	nirS
PA14_06770	regulatory protein NirQ	nirQ
PA14_06790	cytochrome c oxidase subunit	PA14_06790
PA14_06800	hypothetical protein	PA14_06800
PA14_06810	nitric-oxide reductase subunit C	norC
PA14_06830	nitric-oxide reductase subunit B	norB
PA14_06840	dinitrification protein NorD	PA14_06840
PA14_06860	hypothetical protein	PA14_06860
PA14_06870	transcriptional regulator Dnr	dnr
PA14_06880	LysR family transcriptional regulator	PA14_06880
PA14_06890	hypothetical protein	PA14_06890
PA14_06900	hypothetical protein	PA14_06900
PA14_06920	class III pyridoxal phosphate-dependent aminotransferase	PA14_06920
PA14_06930	glutamine amidotransferase	PA14_06930
PA14_06940	hypothetical protein	PA14_06940
PA14_06950	LuxR family transcriptional regulator	PA14_06950
PA14_06960	hypothetical protein	PA14_06960
PA14_06970	Cro/CI family transcriptional regulator	PA14_06970
PA14_06980	hypothetical protein	PA14_06980
PA14_06990	hypothetical protein	PA14_06990
PA14_07000	DsbB1	dsbB1
PA14_07010	hypothetical protein	PA14_07010
PA14_07020	hypothetical protein	PA14_07020
PA14_07030	cytochrome c'	PA14_07030
PA14_07040	hypothetical protein	PA14_07040
PA14_07050	hypothetical protein	PA14_07050
PA14_07060	hypothetical protein	PA14_07060
PA14_07070	hypothetical protein	PA14_07070
PA14_07090	S-adenosylmethionine synthetase	metK
PA14_07110	ArsR family transcriptional regulator	PA14_07110
PA14_07130	transketolase	tktA
PA14_07140	hypothetical protein	PA14_07140
PA14_07150	hypothetical protein	PA14_07150
PA14_07170	D-erythrose 4-phosphate dehydrogenase	epd
PA14_07190	phosphoglycerate kinase	pgk
PA14_07200	hypothetical protein	PA14_07200
PA14_07210	hypothetical protein	PA14_07210
PA14_07230	fructose-1,6-bisphosphate aldolase	fda
PA14_07240	hypothetical protein	PA14_07240
PA14_07250	hypothetical protein	PA14_07250
PA14_07260	hypothetical protein	PA14_07260
PA14_07280	hypothetical protein	PA14_07280
PA14_07290	hypothetical protein	PA14_07290
PA14_07300	hypothetical protein	PA14_07300
