locus	description	name
PALES_01601	putative transcriptional regulator	PALES_01601
PALES_01611	hypothetical protein	PALES_01611
PALES_01621	hypothetical protein	PALES_01621
PALES_01631	histidine porin OpdC	opdC
PALES_01641	putative transcriptional regulator	PALES_01641
PALES_01651	putative gamma-glutamyltranspeptidase	PALES_01651
PALES_01661	putative outer membrane protein	PALES_01661
PALES_01671	putative transporter	PALES_01671
PALES_01681	putative transcriptional regulator	PALES_01681
PALES_01691	hypothetical protein	PALES_01691
PALES_01701	putative GGDEF domain	PALES_01701
PALES_01711	hypothetical protein	PALES_01711
PALES_01721	hypothetical protein	PALES_01721
PALES_01731	putative serine phosphatase	PALES_01731
PALES_01741	chemotaxis-specific methylesterase	PALES_01741
PALES_01751	putative chemotaxis protein	PALES_01751
PALES_01761	putative chemotaxis protein methyltransferase	PALES_01761
PALES_01771	aerotaxis transducer Aer2	aer2
PALES_01781	putative purine-binding chemotaxis protein	PALES_01781
PALES_01791	putative two-component sensor	PALES_01791
PALES_01801	putative two-component response regulator	PALES_01801
PALES_01811	putative chemotaxis transducer	PALES_01811
PALES_01821	putative transcriptional regulator	PALES_01821
PALES_01831	3-ketoacyl-(acyl-carrier-protein) reductase	fabG
PALES_01841	arylsulfatase	atsA
PALES_01851	putative ATP-binding component of ABC transporter	PALES_01851
PALES_01861	putative permease of ABC transporter	PALES_01861
PALES_01871	putative binding protein component of ABC transporter	PALES_01871
PALES_01881	hypothetical protein	PALES_01881
PALES_01891	hypothetical protein	PALES_01891
PALES_01901	putative porin	PALES_01901
PALES_01911	putative acid phosphatase	PALES_01911
PALES_01921	putative transcriptional regulator	PALES_01921
PALES_01931	putative TonB-dependent receptor	PALES_01931
PALES_01941	putative alkylsulfatase	PALES_01941
PALES_01951	hypothetical protein	PALES_01951
PALES_01961	putative NAD(P) transhydrogenase, subunit alpha part 1	pntAA
PALES_01971	pyridine nucleotide transhydrogenase, beta subunit	pntB
PALES_01981	putative TonB protein	tonB2
PALES_01991	transport protein ExbB	exbB1
PALES_02001	transport protein ExbD	exbD1
PALES_02011	hypothetical protein	PALES_02011
PALES_02021	putative esterase	PALES_02021
PALES_02031	malonate decarboxylase alpha subunit	mdcA
PALES_02041	triphosphoribosyl-dephospho-CoA synthase	PALES_02041
PALES_02051	malonate decarboxylase subunit delta	mdcC
PALES_02061	malonate decarboxylase subunit beta	mdcD
PALES_02071	malonate decarboxylase gamma subunit	mdcE
PALES_02081	phosphoribosyl-dephospho-CoA transferase	PALES_02081
PALES_02091	putative acyl transferase	PALES_02091
PALES_02101	putative transporter	PALES_02101
PALES_02111	putative transporter	PALES_02111
PALES_02121	putative transcriptional regulator	PALES_02121
PALES_02131	hypothetical protein	PALES_02131
PALES_02141	putative transcriptional regulator	PALES_02141
PALES_02151	hypothetical protein	PALES_02151
PALES_02161	putative aldehyde dehydrogenase	PALES_02161
PALES_02171	amino acid APC family transporter	PALES_02171
PALES_02181	putative aminotransferase	PALES_02181
PALES_02191	putative binding protein component of ABC transporter	PALES_02191
PALES_02201	putative dihydrodipicolinate synthetase	PALES_02201
PALES_02211	class II aldolase/adducin domain protein	PALES_02211
PALES_02221	putative transcriptional regulator	PALES_02221
PALES_02231	putative CoA transferase, subunit A	PALES_02231
PALES_02241	putative CoA transferase, subunit B	PALES_02241
PALES_02251	beta-ketoadipyl CoA thiolase	pcaF
PALES_02261	dicarboxylic acid transporter PcaT	pcaT
PALES_02271	3-carboxy-cis,cis-muconate cycloisomerase	pcaB
PALES_02281	beta-ketoadipate enol-lactone hydrolase	pcaD
PALES_02291	gamma-carboxymuconolactone decarboxylase	pcaC
PALES_02301	putative transcriptional regulator	PALES_02301
PALES_02311	hypothetical protein	PALES_02311
PALES_02321	4-hydroxybenzoate transporter PcaK	pcaK
PALES_02331	putative transcriptional regulator	PALES_02331
PALES_02341	putative oxidoreductase	PALES_02341
PALES_02351	hypothetical protein	PALES_02351
PALES_02361	putative permease	PALES_02361
PALES_02371	putative porin	PALES_02371
PALES_02381	putative major facilitator superfamily (MFS) transporter	PALES_02381
PALES_02391	putative 4-hydroxyphenylpyruvate dioxygenase	PALES_02391
PALES_02401	putative transcriptional regulator	PALES_02401
PALES_02411	shikimate 5-dehydrogenase	PALES_02411
PALES_02421	3-dehydroquinate dehydratase	aroQ2
PALES_02431	putative major facilitator superfamily (MFS) transporter	PALES_02431
PALES_02441	4-hydroxybenzoate 3-monooxygenase	pobA
PALES_02451	putative transcriptional regulator	PALES_02451
PALES_02461	putative acetyltransferase	PALES_02461
PALES_02471	putative CBS domain	PALES_02471
PALES_02481	hypothetical protein	PALES_02481
PALES_02491	hypothetical protein	PALES_02491
PALES_02501	putative transcriptional regulator	PALES_02501
PALES_02511	putative 3-polyprenyl-4-hydroxybenzoate decarboxylase	PALES_02511
PALES_02521	hypothetical protein	PALES_02521
PALES_02531	hypothetical protein	PALES_02531
PALES_02541	hypothetical protein	PALES_02541
PALES_02551	hypothetical protein	PALES_02551
PALES_02561	hypothetical protein	PALES_02561
PALES_02571	hypothetical protein	PALES_02571
PALES_02581	hypothetical protein	PALES_02581
PALES_02591	secreted protein Hcp	hcpC
PALES_02601	hypothetical protein	PALES_02601
PALES_02611	succinate-semialdehyde dehydrogenase I	gabD
PALES_02621	4-aminobutyrate aminotransferase	gabT
PALES_02631	putative response regulator	PALES_02631
PALES_02641	putative transcriptional regulator	PALES_02641
PALES_02651	putative decarboxylase	PALES_02651
PALES_02661	hypothetical protein	PALES_02661
PALES_02671	hypothetical protein	PALES_02671
PALES_02681	putative transcriptional regulator	PALES_02681
PALES_02691	putative major facilitator superfamily (MFS) transporter	PALES_02691
PALES_02701	hypothetical protein	PALES_02701
PALES_02711	putative transcriptional regulator	PALES_02711
PALES_02721	hypothetical protein	PALES_02721
PALES_02731	putative putative Zn-dependent protease with chaperone function	PALES_02731
PALES_02741	hypothetical protein	PALES_02741
PALES_02751	putative transcriptional regulator	PALES_02751
PALES_02761	sulfate transport protein CysA	cysA
PALES_02771	sulfate transport protein CysW	cysW
PALES_02781	sulfate transport protein CysT	cysT
PALES_02791	sulfate-binding protein precursor	sbp
PALES_02801	hypothetical protein	PALES_02801
PALES_02811	putative sensory box/GGDEF domain/EAL domain protein	PALES_02811
PALES_02821	delta-9 fatty acid desaturase, DesA	desA
PALES_02831	3-guanidinopropionate transport protein	gpuP
PALES_02841	3-guanidinopropionase	gpuA
PALES_02851	transcriptional activator GpuR	gpuR
PALES_02861	putative sensory box/GGDEF domain protein	PALES_02861
PALES_02871	Anaerobically-induced outer membrane porin OprE precursor	oprE
PALES_02881	agmatine deiminase	aguA
PALES_02891	N-carbamoylputrescine amidohydrolase	aguB
PALES_02901	transcriptional regulator AguR	aguR
PALES_02911	putative periplasmic polyamine binding protein	PALES_02911
PALES_02921	putative glutamine synthetase	PALES_02921
PALES_02931	putative glutamine amidotransferase	spuA
PALES_02941	putative glutamine synthetase	spuB
PALES_02951	putative aminotransferase	spuC
PALES_02961	polyamine transport protein	spuD
PALES_02971	polyamine transport protein	spuE
PALES_02981	polyamine transport protein PotG	spuF
PALES_02991	polyamine transport protein PotH	spuG
PALES_03001	polyamine transport protein PotI	spuH
PALES_03011	putative penicillin amidase	PALES_03011
PALES_03021	putative transcriptional regulator	PALES_03021
PALES_03031	hypothetical protein	PALES_03031
PALES_03041	putative lysophospholipase	PALES_03041
PALES_03051	hypothetical protein	PALES_03051
PALES_03061	putative proline hydroxylase	PALES_03061
PALES_03071	hypothetical protein	PALES_03071
PALES_03081	hypothetical protein	PALES_03081
PALES_03091	putative permease of ABC transporter	PALES_03091
PALES_03101	putative binding protein component of ABC transporter	PALES_03101
PALES_03111	hypothetical protein	PALES_03111
PALES_03121	D-3-phosphoglycerate dehydrogenase	serA
PALES_03131	putative oxidoreductase, FAD-binding	PALES_03131
PALES_03141	putative fumarylacetoacetate hydrolase family protein	PALES_03141
PALES_03151	putatitve transcriptional regulator	PALES_03151
PALES_03161	hypothetical protein	PALES_03161
PALES_03171	putative acetylpolyamine aminohydrolase	PALES_03171
PALES_03181	putative transporter	PALES_03181
PALES_03191	putative binding protein component of ABC transporter	PALES_03191
PALES_03201	putative permease of ABC transporter	PALES_03201
PALES_03211	putative permease of ABC transporter	PALES_03211
PALES_03221	putative ATP-binding component of ABC transporter	PALES_03221
PALES_03231	putative transcriptional regulator	PALES_03231
PALES_03241	putative integral membrane protein	PALES_03241
PALES_03251	hypothetical protein	PALES_03251
PALES_03261	hypothetical protein	PALES_03261
PALES_03271	ribose-5-phosphate isomerase A	rpiA
PALES_03281	threonine dehydratase	ilvA1
PALES_03291	putative integral membrane protein	PALES_03291
PALES_03301	putative epimerase	PALES_03301
PALES_03311	putative major facilitator superfamily (MFS) transporter	PALES_03311
PALES_03321	putative hydrolase	PALES_03321
PALES_03331	dinucleoside polyphosphate hydrolase	ygdP
PALES_03341	phosphoenolpyruvate-protein phosphotransferase PtsP	ptsP
PALES_03351	putative sensory box protein	PALES_03351
PALES_03361	hypothetical protein	PALES_03361
PALES_03371	putative permease	PALES_03371
PALES_03381	prolipoprotein diacylglyceryl transferase	lgt
PALES_03391	thymidylate synthase	thyA
PALES_03401	hypothetical protein	PALES_03401
PALES_03411	hypothetical protein	PALES_03411
PALES_03421	hypothetical protein	PALES_03421
PALES_03431	hypothetical protein	PALES_03431
PALES_03441	glycerophosphoryl diester phosphodiesterase, periplasmic	glpQ
PALES_03451	hypothetical protein	PALES_03451
PALES_03461	hypothetical protein	PALES_03461
PALES_03471	dihydrofolate reductase	folA
PALES_03481	putative phosphoesterase	PALES_03481
PALES_03491	putative transporter	PALES_03491
PALES_03501	dihydroxy-acid dehydratase	ilvD
PALES_03511	putative SAM-dependent methyltransferase	PALES_03511
PALES_03521	protease PfpI	pfpI
PALES_03531	putative signal transduction histidine kinase	PALES_03531
PALES_03541	formamidopyrimidine-DNA glycosylase	mutM
PALES_03551	putative phosphate acyltransferase	PALES_03551
PALES_03561	hypothetical protein	PALES_03561
PALES_03571	hypothetical protein	PALES_03571
PALES_03581	putative gamma-glutamyltranspeptidase precursor	PALES_03581
PALES_03591	ferredoxin	fdx1
PALES_03601	phosphopantetheine adenylyltransferase	coaD
PALES_03611	putative oxidoreductase	PALES_03611
PALES_03621	hypothetical protein	PALES_03621
PALES_03631	putative aldehyde dehydrogenase	PALES_03631
PALES_03641	putative transcriptional regulator	PALES_03641
PALES_03651	putative hydrolase	PALES_03651
PALES_03661	hypothetical protein	PALES_03661
PALES_03671	putative methyltransferase	PALES_03671
PALES_03681	putative peptidase	PALES_03681
PALES_03691	putative zinc protease	PALES_03691
PALES_03701	signal recognition particle receptor FtsY	ftsY
PALES_03711	cell division protein FtsE	ftsE
PALES_03721	cell division protein FtsX	ftsX
PALES_03731	RNA polymerase factor sigma-32	rpoH
PALES_03741	hypothetical protein	PALES_03741
PALES_03751	monofunctional biosynthetic peptidoglycan transglycosylase	mtgA
PALES_03761	hypothetical protein	PALES_03761
PALES_03771	sulfur carrier protein ThiS	PALES_03771
PALES_03781	thiazole synthase	thiG
PALES_03791	tRNA (guanine-N(7)-)-methyltransferase	trmB
PALES_03801	hypothetical protein	PALES_03801
PALES_03811	hypothetical protein	PALES_03811
PALES_03821	hypothetical protein	PALES_03821
PALES_03831	coproporphyrinogen III oxidase	PALES_03831
PALES_03841	putative deoxyribonucleotide triphosphate pyrophosphatase	PALES_03841
PALES_03851	hypothetical protein	PALES_03851
PALES_03861	putative methionine biosynthesis protein	PALES_03861
PALES_03871	homoserine O-acetyltransferase	metX
PALES_03881	hypothetical protein	PALES_03881
PALES_03891	hypothetical protein	PALES_03891
PALES_03901	putative YGGT family protein	PALES_03901
PALES_03911	pyrroline-5-carboxylate reductase	proC
PALES_03921	putative PLP dependent enzyme	PALES_03921
PALES_03931	twitching motility protein PilT	pilT
PALES_03941	twitching motility protein PilU	pilU
PALES_03951	putative cation efflux system protein	PALES_03951
PALES_03961	hypothetical protein	PALES_03961
PALES_03971	cystathionine beta-synthase	PALES_03971
PALES_03981	putative cystathionine gamma-lyase	PALES_03981
PALES_03991	dihydroorotase	pyrC
PALES_04001	aspartate carbamoyltransferase catalytic subunit	pyrB
PALES_04011	bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase	pyrR
PALES_04021	Holliday junction resolvase-like protein	yqgF
PALES_04031	hypothetical protein	PALES_04031
PALES_04041	putative tonB domain protein	PALES_04041
PALES_04051	glutathione synthetase	gshB
PALES_04061	twitching motility protein PilG	pilG
PALES_04071	twitching motility protein PilH	pilH
PALES_04081	twitching motility protein PilI	pilI
PALES_04091	twitching motility protein PilJ	pilJ
PALES_04101	methyltransferase PilK	pilK
PALES_04111	still frameshift putative component of chemotactic signal transduction system	chpA
PALES_04121	putative methylesterase	chpB
PALES_04131	putative chemotaxis protein	chpC
PALES_04141	putative transcriptional regulator	chpD
PALES_04151	putative chemotaxis protein	chpE
PALES_04161	hypothetical protein	PALES_04161
PALES_04171	16S ribosomal RNA methyltransferase RsmE	PALES_04171
PALES_04181	adenosylmethionine--8-amino-7-oxononanoate transaminase	bioA
PALES_04191	putative monoamine oxidase	PALES_04191
PALES_04201	putative cytochrome b561	PALES_04201
PALES_04211	hypothetical protein	pasP
PALES_04221	multidrug resistance operon repressor MexR	mexR
PALES_04231	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor	mexA
PALES_04241	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB	mexB
PALES_04251	Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	oprM
PALES_04261	putative ATP-dependent RNA helicase	PALES_04261
PALES_04271	hypothetical protein	PALES_04271
PALES_04281	5,10-methylenetetrahydrofolate reductase	metF
PALES_04291	hypothetical protein	PALES_04291
PALES_04301	S-adenosyl-L-homocysteine hydrolase	sahH
PALES_04311	hypothetical protein	PALES_04311
PALES_04321	putative outer membrane ferric siderophore receptor	PALES_04321
PALES_04331	hypothetical protein	PALES_04331
PALES_04341	putative transcriptional regulator	PALES_04341
PALES_04351	cytosine deaminase	codA
PALES_04361	cytosine permease	codB
PALES_04371	dihydropyrimidine dehydrogenase	PALES_04371
PALES_04381	putative oxidoreductase	PALES_04381
PALES_04391	phenylhydantoinase	dht
PALES_04401	putative transporter	PALES_04401
PALES_04411	allantoate amidohydrolase	PALES_04411
PALES_04421	putative acyl-CoA transferase	PALES_04421
PALES_04431	glutaryl-CoA dehydrogenase	gcdH
PALES_04441	putative transcriptional regulator	PALES_04441
PALES_04451	putative long-chain acyl-CoA thioester hydrolase family protein	PALES_04451
PALES_04461	putative phosphate transporter	PALES_04461
PALES_04471	putative membrane-bound protease	PALES_04471
PALES_04481	putative stomatin-like protein	PALES_04481
PALES_04491	hypothetical protein	PALES_04491
PALES_04501	hypothetical protein	PALES_04501
PALES_04511	ATP-dependent RNA helicase DbpA	dbpA
PALES_04521	putative cold-shock protein	PALES_04521
PALES_04531	hypothetical protein	PALES_04531
PALES_04541	putative major facilitator superfamily (MFS) transporter	PALES_04541
PALES_04551	putative ClpA/B protease ATP binding subunit	PALES_04551
PALES_04561	hypothetical protein	PALES_04561
PALES_04571	putative acyltransferase	PALES_04571
PALES_04581	hypothetical protein	PALES_04581
PALES_04591	DNA-binding response regulator CreB	creB
PALES_04601	sensory histidine kinase CreC	creC
PALES_04611	hypothetical protein	creD
PALES_04621	hypothetical protein	PALES_04621
PALES_04631	putative glutathione S-transferase	PALES_04631
PALES_04641	putative streptogramin lyase	PALES_04641
PALES_04651	hypothetical protein	PALES_04651
PALES_04661	Ferrichrome receptor FiuA	fiuA
PALES_04671	putative transmembrane sensor	PALES_04671
PALES_04681	RNA polymerase sigma factor	PALES_04681
PALES_04691	putative glutathione S-transferase	PALES_04691
PALES_04701	putative thioesterase	PALES_04701
PALES_04711	putative transcriptional regulator	PALES_04711
PALES_04721	putative permease	PALES_04721
PALES_04731	putative transcriptional regulator	PALES_04731
PALES_04741	putative N-acetyltransferase	PALES_04741
PALES_04751	putative transcriptional regulator	PALES_04751
PALES_04761	putative hydrolase	PALES_04761
PALES_04771	hypothetical protein	PALES_04771
PALES_04781	malate synthase G	glcB
PALES_04791	putative acetyltransferase	PALES_04791
PALES_04801	putative ACT domain protein	PALES_04801
PALES_04811	putative permease	PALES_04811
PALES_04821	serine/threonine protein kinase	PALES_04821
PALES_04831	putative molybdenum transport regulator	PALES_04831
PALES_04841	hypothetical protein	PALES_04841
PALES_04851	putative phosphoribosyl transferase	PALES_04851
PALES_04861	hypothetical protein	PALES_04861
PALES_04871	putative transcriptional regulator	PALES_04871
PALES_04881	hypothetical protein	PALES_04881
PALES_04891	hypothetical protein	PALES_04891
PALES_04901	acetyl-CoA carboxylase biotin carboxylase subunit	PALES_04901
PALES_04911	putative hydrolase	PALES_04911
PALES_04921	putative hydrolase	PALES_04921
PALES_04931	hypothetical protein	PALES_04931
PALES_04941	hypothetical protein	PALES_04941
PALES_04951	putative pili assembly chaperone	PALES_04951
PALES_04961	biotin synthase	bioB
PALES_04971	8-amino-7-oxononanoate synthase	bioF
PALES_04981	putative biotin biosynthesis protein bioH	PALES_04981
PALES_04991	putative biotin synthesis protein BioC	PALES_04991
PALES_05001	dithiobiotin synthetase	bioD
PALES_05011	hypothetical protein	PALES_05011
PALES_05021	hypothetical protein	PALES_05021
PALES_05031	putative acyl-CoA dehydrogenase	PALES_05031
PALES_05041	putative acyl-CoA dehydrogenase	PALES_05041
PALES_05051	putative acyl-CoA dehydrogenase	PALES_05051
PALES_05061	putative c-type cytochrome	nirN
PALES_05071	putative uroporphyrin-III c-methyltransferase	PALES_05071
PALES_05081	heme d1 biosynthesis protein NirJ	nirJ
PALES_05091	heme d1 biosynthesis protein NirH	nirH
PALES_05101	putative transcriptional regulator	PALES_05101
PALES_05111	heme d1 biosynthesis protein NirL	nirL
PALES_05121	putative transcriptional regulator	PALES_05121
PALES_05131	heme d1 biosynthesis protein NirF	nirF
PALES_05141	putative c-type cytochrome precursor	nirC
PALES_05151	cytochrome c-551 precursor	nirM
PALES_05161	nitrite reductase precursor	nirS
PALES_05171	regulatory protein NirQ	nirQ
PALES_05181	putative cytochrome c oxidase subunit	PALES_05181
PALES_05191	hypothetical protein	PALES_05191
PALES_05201	nitric-oxide reductase subunit C	norC
PALES_05211	nitric-oxide reductase subunit B	norB
PALES_05221	putative dinitrification protein NorD	PALES_05221
PALES_05231	hypothetical protein	PALES_05231
PALES_05241	transcriptional regulator Dnr	dnr
PALES_05251	putative transcriptional regulator	PALES_05251
PALES_05261	putative sulfurase	PALES_05261
PALES_05271	putative class III pyridoxal phosphate-dependent aminotransferase	PALES_05271
PALES_05281	putative glutamine amidotransferase	PALES_05281
PALES_05291	hypothetical protein	PALES_05291
PALES_05301	putative transcriptional regulator	PALES_05301
PALES_05311	hypothetical protein	PALES_05311
PALES_05321	putative oxidoreductase	PALES_05321
PALES_05331	putative transcriptional regulator	PALES_05331
PALES_05341	putative dehydrogenase	PALES_05341
PALES_05351	hypothetical protein	PALES_05351
PALES_05361	disulfide bond formation protein	dsbB
PALES_05371	hypothetical protein	PALES_05371
PALES_05381	hypothetical protein	PALES_05381
PALES_05391	putative cytochrome c'	PALES_05391
PALES_05401	hypothetical protein	PALES_05401
PALES_05411	putative depolymerase	PALES_05411
PALES_05421	hypothetical protein	PALES_05421
PALES_05431	putative reductase	PALES_05431
PALES_05441	S-adenosylmethionine synthetase	metK
PALES_05451	putative transcriptional regulator	PALES_05451
PALES_05461	transketolase	tktA
PALES_05471	hypothetical protein	PALES_05471
PALES_05481	putative hydroxypyruvate isomerase	PALES_05481
